ranking,name,score,score_num,quote,link
84,禁闭岛,8.7,505170,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
85,布达佩斯大饭店,8.8,467987,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
86,穿条纹睡衣的男孩,9.0,232753,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
87,入殓师,8.8,388939,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
88,阿凡达,8.7,741163,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
89,幽灵公主,8.8,317491,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
90,阳光灿烂的日子,8.8,362494,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
91,致命ID,8.7,432122,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
92,第六感,8.8,310717,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
93,加勒比海盗,8.7,487686,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
94,狩猎,9.1,186387,人言可畏。,https://movie.douban.com/subject/6985810/
95,断背山,8.7,426642,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
96,重庆森林,8.7,444885,寂寞没有期限。,https://movie.douban.com/subject/1291999/
97,玛丽和马克思,8.9,279975,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
98,摩登时代,9.2,136693,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
99,喜剧之王,8.7,476160,我是一个演员。,https://movie.douban.com/subject/1302425/
100,告白,8.7,446354,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
101,大鱼,8.8,330410,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
102,消失的爱人,8.7,495691,年度最佳date movie。,https://movie.douban.com/subject/21318488/
103,一一,9.0,201033,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
104,射雕英雄传之东成西就,8.7,365088,百看不厌。 ,https://movie.douban.com/subject/1316510/
105,阳光姐妹淘,8.8,357314,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
106,甜蜜蜜,8.8,294142,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
107,爱在黎明破晓前,8.8,305474,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
108,小森林 夏秋篇,9.0,207007,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
109,驯龙高手,8.7,409569,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
110,侧耳倾听,8.8,237342,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
111,请以你的名字呼唤我,8.8,297018,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
112,红辣椒,8.9,195317,梦的勾结。,https://movie.douban.com/subject/1865703/
113,倩女幽魂,8.7,373367,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
114,恐怖直播,8.7,327343,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
115,风之谷,8.8,233466,动画片的圣经。,https://movie.douban.com/subject/1291585/
116,超脱,8.8,240329,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
117,上帝之城,8.9,192775,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
118,爱在日落黄昏时,8.8,267142,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
119,菊次郎的夏天,8.8,261102,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
120,幸福终点站,8.7,294390,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
121,哈利·波特与死亡圣器(下),8.7,383695,10年的完美句点。,https://movie.douban.com/subject/3011235/
122,小森林 冬春篇,9.0,180795,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
123,杀人回忆,8.7,285700,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
124,7号房的礼物,8.8,254555,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
125,神偷奶爸,8.5,536392,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
126,借东西的小人阿莉埃蒂,8.7,289205,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
127,萤火之森,8.8,238431,触不到的恋人。,https://movie.douban.com/subject/5989818/
128,蝙蝠侠：黑暗骑士崛起,8.7,391421,诺兰就是保证。,https://movie.douban.com/subject/3395373/
129,唐伯虎点秋香,8.5,503892,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
130,超能陆战队,8.6,526230,Balalala~~~,https://movie.douban.com/subject/11026735/
131,怪兽电力公司,8.6,340731,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
132,岁月神偷,8.7,379542,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
133,电锯惊魂,8.7,268856,真相就在眼前。,https://movie.douban.com/subject/1417598/
134,七武士,9.2,103622,时代悲歌。,https://movie.douban.com/subject/1295399/
135,谍影重重3,8.7,241318,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
136,无人知晓,9.1,118145,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
137,真爱至上,8.6,413382,爱，是个动词。,https://movie.douban.com/subject/1292401/
138,疯狂原始人,8.7,490979,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
139,喜宴,8.9,185343,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
140,英雄本色,8.6,256138,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
141,萤火虫之墓,8.7,258915,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
142,东邪西毒,8.6,342837,电影诗。,https://movie.douban.com/subject/1292328/
143,贫民窟的百万富翁,8.5,480457,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
144,黑天鹅,8.5,527040,黑暗之美。,https://movie.douban.com/subject/1978709/
145,记忆碎片,8.6,357500,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
146,血战钢锯岭,8.7,444343,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
147,傲慢与偏见,8.5,404955,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
148,心迷宫,8.7,258508,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
149,时空恋旅人,8.7,283475,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
150,荒蛮故事,8.8,207995,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
151,纵横四海,8.8,211384,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
152,雨人,8.7,256802,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
153,教父3,8.8,179704,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
154,达拉斯买家俱乐部,8.7,251113,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
155,完美的世界,9.1,113408,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
156,玩具总动员3,8.8,252646,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
157,卢旺达饭店,8.9,154443,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
158,花样年华,8.6,320138,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
159,海边的曼彻斯特,8.6,279456,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
160,海洋,9.0,113491,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
161,恋恋笔记本,8.5,366879,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
